text,date
"he is so clean",431559424
"we just turned my room into a giant strobe light!",431559424
"50 feet of led strip lighting that can strobe or change color",431559424
"Also we have a pirate ship room that has lofted areas",431559552
"so when one of our roommates fucks up",431559552
"the punishment is walking the plank",431559552
"you get blindfolded and have to walk off the top loft",431559552
"scary as shit",431559552
"we put that in our roommate contract tho so it’s set in stone",431559552
"￼",431559680
Exciting!!!!!,431559680
"Send some pics",431561600
"Did you put up any holds yet?!",431561600
"Your journey begins ",431561600
"Down an out!",431561600
"Down and out!",431561600
"Yup down and out! In dusseldorf and London. Just boarded should leave soon",431561984
"Sleep on the plane",431561984
"I will. My phone might die even before I take off so I'll text you guys when I land!",431561984
"I'm sure you can charge it on the plane",431562240
"Yeah I can it should be fine",431562240
"R u home?",431562624
"Hows clara like urban?",431570688
"Wanna get lunch!",431571072
"You free...",431571072
Tomorrow?!,431571072
DAMN,431571584
"Dom woulda walked miles",431571584
"Definitely. I might be able to! I'll hit you up. ",431571712
"Ya let me know",431574400
"Made it to London!",431605760
"Hey how's London?",431618048
"Great! We're just heading over to the apartments right now. I'm exhausted, I didn't sleep at all on the plane",431618048
Yikes!,431618048
"Oh I'll be alright, we have tomorrow off so that's nice at least. Just got to the apartment!",431619968
"How is it?  Have you met your roommates?",431620352
"It's good! It's kind of Spartan but it's perfect. I met one who's in the flat but I haven't met the guy sharing my room yet",431620480
"Turns out I have major packing today :( you around in the city this weekend?",431629952
"hey Lucas - can you do me a huge favor and send me a couple of the pages from last years yearbook? I can’t figure out how to get on the server cause I have a new laptop ",431632512
"Hey so do you wanna meet at bun mee around 7:00? And then we can head to the game? Also is it chill if Niki kf comes?",431654656
"Ya sure that sounds great",431654912
"Ya sure what do you need?",431654912
"No worries! I'm pretty busy this weekend actually :(",431654912
"Thank you! Maybe the colophon, table of contents type stuff? Like front and end pages?? ",431654912
"And just send them to aschantz18@cmc.edu ",431654912
"Aight ",431655042
"Thank you!!",431655048
"Shit, well I'll definitely be back and forth in October, let's chill then!",431655515
"Ya for sure have fun in New York too!!!",431655531
"Thanks homie, I'm excited. ",431655545
"Hey we are near bun mee u wanna head over?",431659776
Ya,431659776
"K chill see u soon",431659776
"￼Happy birthday we miss you 2 much!",431667584
"WHOA double trouble ",431667712
"Thanks men",431667712
"Go blues! ",431667712
"Are other people coming?",431669120
"Ya ",431669248
"Hey mom I'm going to Sophie's",431670400
"Lol my friends can't come",431670528
"Haha no worries it may just be me or one other ",431670528
"Haha solid",431670528
"If that's ok",431670656
"Yeah!  Are you coming home by one?",431670784
Ya,431670784
Ok,431670784
"Is it ok if I sleep over?",431678208
"Is it alright with you guys if I sleep over",431678336
Dad?,431678720
"Wanna carpool?",431711616
"Ya I could pick u up ",431711744
"What time?",431711744
1130?,431714560
"When did you plan on going?",431714560
"That sounds good ",431714816
"Ok it's 147 Sonia in case you forget how to get there",431714816
"I take that as an insult of course I know how to get there!",431714816
"Never forget man",431714944
Hahaha,431714944
"I don't think I'm gonna go today. The cheapest tickets are 45 and I have to go to this family lunch thing",431716352
"Oh really ",431716608
"Damn that sucks",431716608
"Haha my friends are bailing too!",431716608
"Yea sorry man",431716608
"We should go to another game this year tho",431716608
"It's ok but it would have been fun. Yeah lets all go again there are plenty of games!",431716608
Definitely,431716736
"I'm just guessing probably no rowan either",431716736
"What did you end up doing last night?",431716736
"Yea he said he wasn't going ",431716736
"Hannah berk ended up having like a small thing",431716736
"Oh was it chill?",431716736
"Urban kids suck",431716736
"Yea it was aright",431716736
"I'm almost home",431720832
"How close are you",431720832
"Doors open when you get here I'm in the shower for the next 5 minutes",431721088
"Just aight Reid?!! You get some ass?!!",431721472
"Lol no",431721728
"come on Reid I expect more from you!",431725184
"Sorry man I tried",431725184
"How's the game :)",431727872
"awesome! You see the score!",431727872
"Haha what happened?!",431727872
"Yeah it's a beat down!",431727872
"Yeah cals playing great",431728000
"Against the j v",431728000
"Who knows",431728768
"Anyone in particular?",431728896
"Yep. I heard sac state is actually a high school. ",431728896
"Junior high",431728896
"Hi hope you're having fun!  Are you coming home for dinner?",431745152
"Hey i don't think so go ahead without me!",431745152
"What are you doing?",431745408
"At Chris'",431745408
Fun,431745536
"My phone is close to dying but I will be home in a couple of hours",431751424
"Il leave Chris' a little after 10",431757440
"On your way?????",431759616
"In a few minutes is that ok?",431759616
"Of course",431759616
"See you soon",431759744
"Drive carefully",431759744
"Can you send me those documents when you have a chance? ",431810432
"What's genna's cousins name?! Also is she a fresh at ucsf?",431813248
"Ana Clare",431817472
"She's a senior at Wesleyan ",431817472
"Back the fuck off",431817472
h4wt,431817472
"lost my backpack last night",431817472
"has a handle of hennessey and a pair of swim goggles in it",431817472
"ya boi was headed 2 the lake",431817472
"hows everything goin!?!?!?!",431817600
"Lil midnight swim",431821696
"With all the pre o girls I'm sure",431821824
"Things are amazing",431821824
"I feel terrible today but last night was great",431821824
"Had soccer practice today",431821824
"Nearly yaked",431821824
"Worth it though",431821824
Messi,431821824
"Haha everything's worth it!",431821824
"You rushing Kim?",431821824
"Get hazed yet?!",431821824
"Yeah I got my head shaved",431821824
"They make you eat a keg",431821952
"Yeah they melted it down and now I have to put 6 drops on everything I eat for the rest of the year or else they'll reveal I'm a slut",431822080
"Ya in a few minutes",431822080
"Charlotte Benz is hilarious",431823104
"Might intern for her radio show",431823104
"Oh yeah I forgot about her",431824000
"You should",431824000
"Hey maya it's lucas want to climb with me and kate tomorrow",431824128
"hey, yeah, what time?",431824128
4,431826048
"sounds great!",431826688
"I could help out Tuesday night if that works! 
Tell clara that climbing club probably starts in a week or two but I can ask the teacher. Also if she wants to come climbing with me and my friends one day this week she is welcome!",431830502
"Clara would LOVE to come climbing with you this week. She had a rough start- been using ""overwhelm"" as a noun...",431830784
"And Tuesday would be terrific",431830784
"Is she free tomorrow?",431830912
Yes,431830912
"Great! ",431830912
"I'm sorry she's had a rough time I know it's a little much the first couple weeks",431830912
"You're the best, thanks Lucas.",431830912
"No problem! ",431830912
"Will you send her a text asking about tomorrow?",431830912
"Clara! It's lucas Drummond! Do you want to come climbing tomorrow after school with me and some friends?",431831040
"Just did",431831040
"Again- the best!",431831040
"Haha I'm happy to have her come with us she's cool! ",431831040
"And i was lucky to have my brother and his senior friends when i was a freshman so I know it helps ",431831040
"Hey! That sounds great. Do you mind giving me a little belay reviewing at first so I can get my card thing tomorrow?",431831168
"She keeps wishing izzy was here",431831168
"You can be his stand in",431831168
"Il pretend to be izzy",431831168
"Not only do I not mind but I work there so I can just give you a belay card anyway! ",431831296
"I'm mad with power ",431831296
"Lol. Sweet!",431831296
"Should I just meet you at the front desk after school?",431831296
Sure,431831296
"How was ur first week I barely saw you ",431833344
"It was a little overwhelming but Friday was pretty good. ",431833472
"I told maya we were climbing tmmrw",431833472
"Haha me too",431833472
"My friend clara is also coming",431833472
"Ya I can imagine ",431833600
"cool the more the merrier",431833600
"except I have to work at 6 ):",431833600
"It's ok I have a shit ton of work so I proly should climb much anyway",431833600
"My Spanish teacher is crazy, she gives us so muh homework. ",431833600
"Who is it? I think she's new. I barely survived the first week I had so much homework",431833600
"Freshman year the work shouldn't be that bad ",431833728
"It's Raina, she's new. For the most part it's pretty manageable. So much more than my middle school though. ",431833728
"mmkay ",431833728
"we can have a super intense climb sesh",431833728
Ya,431835520
"High school is different!",431835520
"I think I'm gonna drop out so I don't have to write an essay due tomorrow.  ",431835648
Yeh,431835648
"That's definitely a legit reason to drop out. ",431835904
"I'm glad you agree ",431837312
"Aight I sent you some",431837712
"What you using it for?",431837822
"Thanks! I just am showing them stylistic examples of shit ",431837869
Who?,431837886
"A few older students ",431837899
"For flyers I wanna make ",431837907
"Aight cool",431837909
"Did you send then as PDF or inDesign?",431838976
"InDesign. Do you not have it/ can't open them?",431838976
"No it's fine, I just need to use a lab computer ",431839097
"Thank you! ",431839100
"I'd love to skype you guys tomorrow and tell you how everything's going! The internet in my flat sucks, but it works well at school and I'll be there until 545 my time, what time will you all be home?",431895296
"Are you 8 hours ahead?",431895552
"Can't wait?",431895552
"Yeah eight hours",431895552
"We can do it around 7:30 or 8 am our time",431895552
"Does that work?",431895552
"No sorry, I'll just have started a class what about 7?",431895680
Yeah!!!,431895680
"Great! They're fixing the internet soon so it should be better eventually in which case I can just do it from my place",431895680
"Should you do it or us?",431895808
"I'll do it",431895808
Ok,431895808
"Are you home?",431910272
"No I'm climbing today remember ",431911424
"Ya I forgot",431913728
"Hey sorry today was a shitty climbing day lets go more next week il teach you to lead!",431924992
"Sounds good. Can we go on like maybe friday? Ish",431924992
"Mission cliffs > planet  granite ",431924992
"Honestly though",431924992
"Yep I'm so glad you are converted ",431925376
"It's the best",431925376
"Maybe some Friday night but I got figure drawing after school ",431925376
"Ya mission cliffs is cool cause I work there so they are all super nice",431925504
"You should work there!",431925504
"It's just so much less frantic than pg. it's so far away tho. How old do you have to be to work there??  ",431925632
"Idk maybe 15 or something ",431925632
"U should next year",431925632
"Ya it's far away tho next time stay longer and il give you a ride",431926656
"Yah. I will.  Thank you for teaching me your ways :)",431926656
"I'm going to make you assimilate sorry ",431926656
"You're gonna climb for hours",431926656
"Climb is life Lucas. ",431927296
"That's just what I wanted to hear",431927296
"￼They added extra braces that look like teeth ",431993600
"They are perfect!",431993600
"So handsome!",431993728
"oh yay! it was great to talk to you guys (briefly) by the way",431995648
"￼Yours?",431996032
"Possibly. But idk. Where did you find this?",431996032
"In my car",431996032
"Someone left it",431996032
"￼This one is on Izzy's bookshelf, maybe it's his!",431996288
"Haha weird so you didn't leave that in my car? Are these yours? ￼Sweatpants",431996416
"No and no. But I'll take them. ",431996416
"Alright helpful ",431996416
"You're welcome. :)",431996416
"Are these things urs (or Diego's?!) I found them in my car and have no idea whose they are!",431996544
"￼",431996544
"THOSE ARE MINE HAHAHAHA SORRY",431996672
"Ok! Il bring them tomorrow",431996672
"Let me know when urban climbing starts up!",431996800
"I know, jake, you seem great!",431996800
"How was the lamb sausage?",431996928
"Yeah I'm doing well! Exhausted and probaby jet lagged still but doing well. Didn't get a chance to cook tonight, we went and saw a play at the globe! It was fantastic. I'm cooking tomorrow night though. ",431996928
"Youl know just make sure to sign up for it on the survey",432000463
"Okay cool. ",432003072
"Thank you SO much for taking Bean climbing. She had such a good time (sorry I didn't tell you she'd only climbed once). It marked a real turning point for her Urban transition. You're a total star.",432054912
"Awesome! I'm so glad she had fun it was kind of a weird day and I was worried she didn't have a good time. Hopefully she will come again ago on!",432067072
Soon,432067072
"Not ""ago on""",432067072
"Ago on is my new favorite phrase. You can apply it to so much!",432067159
"🚗?",432078592
Outside,432078720
"you driving to mc today?",432078976
-Elliott,432078976
"is this the shirt you wear everyday?￼",432081152
"Amanda Moore. So I'm working till nine and my phone might die on me, I won't be able to text while
I'm working either so I just wanted to let you know il be back around 930",432081152
"Ok I love you",432081152
"Kate says sorry but she can't climb tomorrow. Here is here number if you wanna talk to her. ",432082176
"￼",432082176
"hi bros fyi single day treas island r now on sale",432082688
Ughhhh,432082944
"Why does alt j have to be on Sunday?",432082944
"Shoot and Chet faker ",432082944
"I think I'm going to go on Sunday then instead",432082944
"yeah def Sunday ",432083072
"K I'll buy a ticket ",432083200
"Although I also really want to go to the mad decent bloc party next weekend. But tickets are so expensive ",432083200
"yeah they were like $100+ weeks ago",432083328
"Hey Lucas lost his wallet and he think he might have left it in your car",432088064
"Jake used to wear that all the time ",432135296
"Il look",432135296
"I'm gonna go Sunday",432135424
"hey I just wanted to say I think kids camp went super super well 
thanks for doing it with me! ",432140672
"Sweet. The little dudes were so cute fucking jake was awesome",432145920
"It was fun",432145920
"And ya they were all very chill ",432145920
"they're all soooo cute 
and super on it. I feel like it'll be really easy to teach them everything ",432153017
"sucks u had to do safety after ",432153035
"bri & lucas wanna come to lunch",432153600
"Ya I'm too tired now",432160000
"Oh sry I had a college meeting! :(",432160000
"it's ok sophie just doesn't want to be friends anymore",432160384
"ahh yes ok I remember now",432175488
"I reading in the presidio for a little before I come home",432178176
"Hey u wanna climb tomorrow?",432178688
"We left for dinner",432179968
"Take Bowie out",432179968
Ok,432179968
"Id love to but I have figure drawing after school till 6",432180096
"Aww alright ",432180096
"What about Saturday at 4",432183168
"I have a soccer game at 3, but I could do earlier or Sunday afternoon",432183671
"damn ya i work from 1030 till 4 at the gym so I can’t do any earlier",432188382
"i can’t do sunday either 😟",432188412
"next week tho",432188417
"Next week",432189011
"yo buy a one day treasure island ticket for Sunday and come see Chet faker with me!!",432258048
"pls pls it'll be so fun",432258048
"Already bought one what what",432258048
"ahhh yayyyy",432258048
"I luv u 😍",432258048
"Let's climb soon bruh. ",432260224
"Wanna climb tonight",432261120
"Ugg I want to but I can't    :( I have to do stuff with the fam. 
Are you available this weekend?  ",432261376
"Ugh maybe I'm kinda busy",432263936
"😿 ",432264064
"I don't even know what that is though ",432264064
"Ya dude it's gonna be awesome ",432264064
"Just had figure drawing with gabe",432264064
"Too much gabe",432264064
"Go to nicks tomorrow night. And we can climb ",432264320
"Hi what are you doing?  I was at Ted Baker and they had tons of good clothes for you.  I saw a great vest!  I want to get it for you",432265216
"Oh cool! I'm on my way home now, you can show me. ",432265344
"What you up to tonight?",432265728
"I got the act tomorrow",432265728
"Not going out",432265728
"Fuck that!",432265728
"Blaze at ur house?",432265728
"Yea lol fuck the future!",432265728
"I heard college makes you gay",432265856
"Haha yea",432265856
"Oh yea heard that too",432265856
"Wanna play soccer at kimball?!",432265856
"I wish",432265856
"Parents said I can't do anything",432265856
"Too bad ",432265984
Yup,432266112
"Bitch ",432266112
"Tomorrow night ",432266112
"Fo sho",432266240
"Did you take a picture?!",432267264
"No I will tomorrow, plaid front polka dot back",432267392
Navy,432267392
"￼",432267392
"Go on Ted baker website, Theowai Vest.  What size is your coat that's too small?",432267776
"ya duhhh",432270208
"Semi nude",432275456
"Wandering around campus",432275456
"Haha of course. ",432275456
"I'm at home reading cause high school sucks",432275456
"￼",432275584
"You fool ",432275584
"Wearing the cross",432275584
"Jesus would be sick",432275584
"Feeling exposed",432275840
"Which coat?",432276352
"I don't know",432276864
"The sport coat we got in Chicago",432276864
"Il check ",432276992
"￼",432278272
"Have you heard of Alexander Brodsky and Ilya utkin? Check out their art I think you'd like it",432309888
"Never heard of them but I like their work. How'd you hear about them?",432321536
"I went to the Tate modern today and they had some stuff",432321664
"￼Bouchon lunch, yum",432334080
"SO JEALOUS!",432335872
"Crpque Madame!  Jake go to Paris!",432335872
Okay,432336000
"￼",432336128
"￼",432337024
"￼",432337024
"￼",432337408
"Weird why is it in French?",432337408
"Maybe they expect most people who need it are French?",432337536
"I'm probs gonna go around 8 tonight",432343296
"just btw if u wanted to know",432343296
"Aight. What you up to now?",432344832
"What you up to?",432345344
"What you up to?",432345728
hw,432345728
Lame,432345728
"Hey are you having dinner at gym",432346112
Ya,432346240
"haha yeah",432346240
"why? what up?",432346240
"I just got off work and was free for a little bit and wanted to hang out",432346368
"are you still free? I have a shit ton of hw but it sounds fun",432347008
"Ya I'm free for a couple hours. Not really doing anything ",432347008
"You at home?",432347520
yup,432348288
"Want me to come pick up up? I have my car ",432348544
"ahh the thing is that i have the act tomorrow cause i have 100% extended time",432348672
What?,432348928
"so i have to get most of my hw done now",432348928
"That's dumb",432348928
"I only have a couple hours anyway ",432348928
"Just wanna kick it for a lil bit?",432348928
"We could drive to berkeley",432348928
Jk,432348928
"haha sounds fun but can i take a rein check?",432349056
"too much to do",432349056
Aight,432349312
"in Santa Rosa 😑",432349312
"what time are u going?",432353408
Now,432353536
"Want me to pick u up?",432353664
"I'm not home yet",432354048
"but a ride home later would be awesome (:",432354048
"Get ur ass over here I need a friend",432354432
"I'll be there in an hour! I'm sorry I was at a bar mitzvah",432354432
"is there no one there?",432354560
"Just a couple of nicks friends ",432354560
"An hour",432354560
"fuck that!",432354560
"an hour tops! 
are u gonna leave?",432354560
"No ",432354688
"Ima hang out for a while",432354688
"I'm just chilling",432354688
"Tryna lead ",432354688
"hells yea",432354688
"I'll be there in 20 mins!",432357248
"Hey how's the party?",432361728
Good,432362880
"What time do u think you'll be coming home?",432363008
"What you guys up to?",432365696
"Leaving now ",432365824
"Was it fun?",432365952
Ya,432365952
"Were at Marisa's u should come over",432366080
"Is it ok if I go hang out with some friends for a little before I come home?",432366208
Who?,432366208
"Reid and some guys at Marisa's house",432366208
"Yes but remember u r driving...",432366208
"Of course ",432366336
"Itl just be for a little bit anyway",432366336
Ok,432366336
"Aight il be there in a little bit",432366336
"Aight cool",432366336
"I'm here",432367104
"When are u coming home?",432372096
"we are at octaves I'm  coming in about 10 min",432372096
Really?,432373376
"Id love to talk on the phone in a few hour feel free to call me!",432403712
"You awake?",432414976
yep,432415616
"it’s only eight o clock for me",432415616
"Can I not call you?",432415616
"no you can! ask mom and dad if they’re cool with it, because it’s a little more money, but you can",432415616
"Why don't we just videochat over wifi that's free",432415616
"because my wifi isn’t good enough to do it",432415744
"Are you sure? Try from your computer to my computer using fb",432415744
"lemme try FaceTime real quick",432415744
"Hey u doing homework?",432421888
"Yes. Are you working?",432421888
"On my way back from soccer ",432421888
"Ok see you soon",432422016
"￼￼We are at the airport",432427776
"You think mc will let me only work Wednesday and weekends, no weekday safeties?",432484864
"um idk probs not but it's worth a shot!",432485760
"Why not?!!! I don't want to work...",432485760
"cause like u Phil and zephyr are the only ones who can do safetys",432485760
"idk! ask Daniel dude!",432485760
"I know. I keep telling Daniel I can't  work and he doesn't like it ",432485888
"Maybe il just email Maxine ",432485888
"email Max but she's not gonna reply till she gets back next month ",432485888
"Ya I kno",432485888
"also I know this is gonna sound kinda shitty but like you only just started working at MC so it's kind of like expected that the you don't ask for less shifts right away...",432486016
"well yeah but this isn't the most real job like zephyr only works weekends and people work random hours, and also I kind of said during the summer I can work all the time, but during the school year not as much. The other thing is I can say il work more later but not so much right now cause of school and college stuff",432486144
"but zephyr also has a full time job at whole foods. 
ya that's a good plan. I feel like u should go straight to Donna instead of talking to Daniel tho ",432486400
"or like wait for Max to get back",432486400
"Ya my plan was email both Donna and Daniel",432486400
"Or just talk to Donna ",432486400
"can you put my sunglasses in my boxb ",432510720
?,432510720
"Chantal's got em",432511104
AG,432511104
?,432511232
"Adam Goldstein?",432511232
"Aww. Great?!",432511232
"a goldfish",432511360
duh,432511360
Oh,432512512
"Best safety ever! No iccs ",432533376
"whaaaat 
never has that ever happened to me!",432533632
"honestly I kinda like doing safety's 
is that weird",432533632
"Safety is super chill without Iccs I would do that like everyday",432534912
"Hey do you remember if I worked after my first day of school? The day before we were supposed to have our first kids camp? ",432537291
"I have no idea how would I know ",432570624
"I don't think so tho",432570624
"check the scedule ",432570624
"I don't know dude",432570752
Whatever,432570752
why?,432571136
"Cause Donna doesn't think I worked then even though I had logged it",432572544
"Hey Shawn, 
My school is doing an outdoor rock climbing trip in October and they wanted me to pass along a message that they are looking for people trained in CPR and WFR and rope training to potentially lead the trip. I was thinking that you or some other mc staff might be trained and want to do it. I can send the information",432579840
"she says you need to use a bowl no exceptions",432579840
"we are also curious what class allows you to go around making tea ",432579840
"Ask Maia if she has bowls in her locker?",432581504
"yeah you might have to look pretty hard though",432581888
"￼Hey tell Maia thanks for the tea and ask her if I need to drink it in a bowl or if it's ok to drink it in a cup",432579712
"I'm leaving in 5 min if that works",432657024
"Cool beout of the house in 5",432657024
"Where are u picking us up",432657408
"Ur house",432657408
Here,432657536
"At by stop",432657536
"Oh il get you there",432657536
"My boss looks exactly like Chet
Faker ",432685952
"omg for real",432685952
"try to sneak a quik pic",432685952
"Yee I'm trying to sneak one but it's a challenge",432686080
"does he have beard",432686208
"Of course",432686208
"of course beard",432686208
"You still good for practice SAT Sunday 9:45?  We need to tell them",432686976
"This Sunday?",432686976
Yeah,432686976
"Should be on schedule at work, one of the dates I gave you",432686976
"Yes I'm not working till 4 on Sunday  ",432687104
"Do you want to reply to email?",432687360
"if eleanor comes to ti lets make sure she goes w her friends",432697856
"she can b stressful @ concerts",432697856
"Went climbing today for the first time in like four months ",432701312
"Haha ya sorry about that I wasn't really trying to invite her I wasn't thinking...",432705920
"hahahahah no don’t apologize it was a very natural part of conversation",432705920
"Wut does she do?",432705920
"just kind of all over the place",432705920
"I don't understand",432706048
"If she's all over the place then she won't bother us",432706048
Ha,432706048
hahahahhaha,432706048
"ok you’re right",432706048
"idk she is like someone you have to keep track of",432706304
"I possibly know what u mean tho. She's not so good at just hanging out I feel",432706304
"yeah exactly",432706304
"need that Chill Vibe ",432706304
"lol what an abstract conversation we’re having",432706304
"Dude I'm feeling it. ",432706304
"Also cause really I just do not know what to think about Eleanor ",432706432
"so true it is constant confusion",432706432
"What is the explanation? Should we invite her to treasure island then hold an intervention?",432706560
hahhahahahah,432706688
"yeah thats what i was thinking",432706688
"Is she actually gonna come? Or is it just one of those like ya itd be fun haha but nothing ever actually happens kind of thing",432707456
"hahahahhah good question, hopefully the latter",432707456
"probably the latter if we just don’t mention it",432707456
Haha,432707456
"and pretend we don’t know if we’re going",432707456
"Pretend we have no idea what it is/what she's talking about",432707584
hahahhahahahahhaha,432707584
"anytime she mentions it, talk about it like its outside lands",432707584
"“wait so ur going to treasure island?” “oh yeah man osl was so fun this year, fuckin love macklemore”",432707584
"Haha exactly ",432709504
"Oh dude no I've never been to hardly strictly but I think it's later in the year ",432709504
"oh shit is lollapalooza already happening? gotta get on ticketmaster right now",432710400
"Hey I'm lock out of the gym wanna let me in",432746240
"hey I’m writing an essay about the noritake china what is the history of it?",432769071
"Haha!  Deedee bought it in Korea when he was stationed there during the  Korean War.  96 pcs",432769152
"alright and then where did it go? ",432769173
"up till now",432769177
"He has had it put away in his house, wanting each one of us to use it but nobody has wanted it.  When he died I was the only one who wanted to save it.  Whenever someone said they didn't like it Deedee knew either jake or you would take it!",432769408
"are you climbing today?",432770048
"No sry ",432770176
"okay no problem ",432770176
U?,432771584
"yeah ",432771712
"You any good at photography?",432780032
"Hey fillin out the common app what would I say for your two job titles",432838400
"CEO food technology startup",432838682
"Architect, self Employed",432838722
"What degrees did you guys get and in what years?",432838761
"Bachelor of Architecture, 1986",432838784
"BS art cal poly 1985",432838813
Thanks,432839039
"Hey how CPR?  I can't remember are you coming home for dinner?",432868480
"No I are",432868608
Ate?,432868608
Yea,432868608
"Are you going to soccer?",432868608
"Hi when R u guys gonna b ready",432872131
"Yo do u have room for Hanna? It's fine if not",432872172
"I'm ready whenever ",432872184
"Pierce? Of course but I’m not picking her up if its out of the way",432872192
"Nah she'll b at my house",432872215
"What time were u gonna leave",432872245
"7 mins or so ",432872448
"Actually a bit more but ya",432872576
"Kk just tell me when you're on way",432872576
"coming now. Where will u guys meet me ",432873216
"Where u dropped me off",432873329
"Idk where that was ",432873339
"Where do u want us to go",432873339
"I can walk wherever",432873344
"Haha I can go to presidio gate if that works",432873344
"Everyone walk towards presidio bus stop right out of presidio ",432873344
"Ok ",432873344
"K corona",432873472
"? ",432873472
Ok,432873472
"Ya there in Five ",432873472
"Here ",432873600
"Fuckers where are you",432873728
"Here ",432873728
"Behind you",432873728
"R u tho ",432873728
Really,432873728
"U sure ",432873728
"1 block away",432873728
"Where ",432873728
"Toward my house",432873728
"So forward ",432873728
"Ya literally 2 secs away",432873856
"1 2",432873856
"I see pres street where are u",432873856
??,432873856
"...? ",432873856
"I'm on pres street",432873856
"Across from bus stop",432873856
"Idiot ",432873856
"See u",432873856
"are you at the game?",432876672
"Just got this tho ",432880256
"You go to Cory?",432880896
nah,432880896
"Oh ",432881536
"r u?",432881664
Maybe,432881664
"If it becomes a partee",432881664
"ok hmu",432881664
"Aight me too",432881664
"Hey I'm going with some people to this kid luca's house ",432881792
"Can you give us his address?  Home by one????",432881920
"Home by one. He lives in cole valley but I don't know if hel be there for long",432881920
What?,432881920
"Sorry. I don't know if we will be there for long I think we might go somewhere else. ",432882048
"Keep us posted",432882048
"Ok I will. ",432882048
"Lucas just saw u at bus are u guys coming?!?!?!?",432882176
"Are you with Corey? פיצה גחלכ חמד כץ",432882432
"Can we get in?",432882560
"Yea like don't come now",432882560
Sweet,432882560
"No don't come now ",432882560
"Ya we were just going to kick it somewhere anyway ",432882560
"Is Corey's around cole valley?",432882560
"✌️✌️",432883840
;),432885504
"😏",432885504
/:,432885504
"😎",432885504
-/(,432885504
"-"":1",432885760
"Hella rude",432889088
"Don't give me that",432889856
"I was just tryna hill",432889856
Choll,432890368
Chili,432890368
"Climbing tomorrow night?",432892160
